"Nombre","Tipo","Cantidad"
"+10V_SM50","Local label","2"
"+15V_BBOX_PT100","Local label","2"
"+15V_BBOX_SM50","Local label","2"
"+15V_PROT_PT100","Local label","4"
"+15V_PROT_SM50","Local label","3"
"+5V_REF","Local label","2"
"-15V_BBOX_PT100","Local label","2"
"-15V_BBOX_SM50","Local label","2"
"-15V_PROT_PT100","Local label","3"
"-15V_PROT_SM50","Local label","2"
"GND","Power symbol","37"
"PT100_1_FORCE","Local label","2"
"PT100_1_RETURN","Local label","3"
"PT100_1_SENSE","Local label","2"
"PT100_INA_OUT","Local label","2"
"PT100_OUT_N","Local label","2"
"PT100_OUT_P","Local label","2"
"SM50_EXC_N","Local label","2"
"SM50_EXC_P","Local label","2"
"SM50_INA_OUT","Local label","2"
"SM50_OUT_N","Local label","2"
"SM50_OUT_P","Local label","2"
"SM50_SIG_N","Local label","2"
"SM50_SIG_P","Local label","2"
"VREF_PT100","Local label","2"
