"Reference","Value","OldFootprint","NewFootprint"
"C23","0.1uF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C14","100nF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"U8","78L05 5V","ProyectoPCB_Footprints:REG_78L05_SOT89","Package_TO_SOT_SMD:SOT-89-3"
"TRIM_SM50","1k","ProyectoPCB_Footprints:Bourns_3296W_1_102LF","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical"
"U3","TPS7A4901DGNT","TI_TPS7A49:TI_DGN-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm","Package_SO:MSOP-8-1EP_3x3mm_P0.65mm_EP1.73x1.85mm"
"C1","10nF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C19","0.1uF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C3","10uF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C5","0.1uF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C17","100nF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C6","100nF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C7","0.1uF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C11","10uF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C2","10nF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C10","0.1uF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C21","0.1uF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"J_BBOX_PT100","RJ45_8P8C_BBOX_SHIELDED","ProyectoPCB_Footprints:RJ45_8P8C_RA_SHIELDED_GENERIC","Connector_RJ:RJ45_Amphenol_RJHSE5380"
"C12","10uF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C13","100nF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C22","100nF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C15","10uF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"J_SM50","AST0250404","ProyectoPCB:AST0250404","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal"
"TRIM_PT100","1k","ProyectoPCB_Footprints:Bourns_3296W_1_102LF","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical"
"C9","0.1uF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"J_BBOX_SM50","RJ45_8P8C_BBOX_SHIELDED","ProyectoPCB_Footprints:RJ45_8P8C_RA_SHIELDED_GENERIC","Connector_RJ:RJ45_Amphenol_RJHSE5380"
"C16","10uF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C18","100nF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"J_PT100_1","AST0250304","ProyectoPCB:AST0250304","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal"
"U1","TPD4E1U06DBVR","ProyectoPCB:SOT-23-6","Package_TO_SOT_SMD:SOT-23-6"
"C20","0.1uF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C8","10nF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
"C4","100nF","C_0805_2012Metric","Capacitor_SMD:C_0805_2012Metric"
